harness,suite,suite-bugbench,crashing,lang-c,lang-cpp,lang-rust,slow,fast,shallow,big,progress-24h,fuzzbench,requires-sjlj,buggy-harness-upstream,wasm-specific-crash,buggy-port,buggy-project
libxml2-xinclude.wasm,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
libxml2-xml.wasm,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
libxml2-xpath.wasm,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
lzma-7z.wasm,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
lzma-filters.wasm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lzma-lzma2dec.wasm,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
lzma-lzma2enc.wasm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lzma-lzmadec.wasm,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
lzma-lzmaenc.wasm,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
lzma-ppmdenc.wasm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lzma-xzdec.wasm,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
lzma-xzenc.wasm,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
mbedtls-fuzz_client.wasm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mbedtls-fuzz_dtlsclient.wasm,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
mbedtls-fuzz_dtlsserver.wasm,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
mbedtls-fuzz_pkcs7.wasm,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
mbedtls-fuzz_privkey.wasm,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
mbedtls-fuzz_pubkey.wasm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mbedtls-fuzz_server.wasm,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
mbedtls-fuzz_x509crl.wasm,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
mbedtls-fuzz_x509crt.wasm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mbedtls-fuzz_x509csr.wasm,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
naga-glsl_parser.wasm,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
naga-ir.wasm,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
naga-spv_parser.wasm,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
naga-wgsl_parser.wasm,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
openjpeg-opj_decompress_J2K.wasm,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
openjpeg-opj_decompress_JP2.wasm,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
openssl-acert.wasm,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
openssl-asn1.wasm,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
openssl-asn1parse.wasm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
openssl-bignum.wasm,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
openssl-bndiv.wasm,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
openssl-client.wasm,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
